id,name,sku,category_reference,tax_group_reference,is_sold_by_weight,is_active,is_stock_product,price,cost,barcode,description,preparation_time,calories,walking_minutes_to_burn_calories,is_high_salt,image,name_localized,description_localized
97e45442-0030-46f4-ab7e-4cc0aa03c5c0,"Tandoori Chicken",psk-044,cat-08,tx1,Yes,Yes,No,0,,,"Traditional indian tandoori chicken breast",,287,,No,,"دجاج تندوري","صدر دجاج تندوري هندي"
97e45442-05b6-42d6-8570-46f98732933d,"Buffalo Chicken",psk-042,cat-08,tx1,No,Yes,No,0,,,"Marinated chicken cube with bread crumbs, served with our special buffalo sauce",,293,,No,,"دجاج البافلو","دجاج متبل بالخبز ، تقدم مع صلصة البافلو"
97e45442-065d-4a2b-a6e2-b295ca837432,"Curry Chicken",psk-045,cat-08,tx1,Yes,Yes,No,0,,,"Chicken, cloves, ginger, garlic, paprika, turmeric, cumin, tomato, chicken stock, cream, black pepper, curry masala",,222,,No,,"دجاج الكاري","دجاج ، قرنفل ، زنجبيل ، ثوم ، بابريكا ، كركم ، كمون ، طماطم ، مرق دجاج ، كريمة ، فلفل أسود ، كاري ماسالا"
97e45442-06dc-42b0-aa4c-3cff1c530142,"Dill Fish",psk-049,cat-10,tx1,No,Yes,No,0,,,"Fish, lemon juice, garlic, onion, coriander, green dill, salt, white pepper, cream",,260,,No,,"سمك الشبت","سمك ، عصير ليمون ، ثوم ، بصل ، كزبرة خضرة ، شبت أخضر ، ملح ، كمون، فلفل أبيض ، كريمة"
97e45442-0cd9-41c4-93c6-238e82e8b453,"Fish Curry",psk-050,cat-10,tx1,No,Yes,No,0,,,"Minced fish, grounded breadm lemon juice, garlic, onion, curry spices, cinnamon, butter, cream, fenugreek, dill green",,303,,No,,"سمك كاري","سمك مفروم ، عصير ليمون ، ثوم ، بصل ،كزبرة، ملح، كمون، طماطم، توابل كاري، زبدة ، كريمة ، حلبة ، شبت أخضر"
97e45442-0fc4-4750-9180-02767b27ab4b,"Grilled Fish",psk-054,cat-11,tx1,Yes,Yes,No,0,,,"Garlic, mustard, lemon, salt, pepper",,122,,No,,"السمك المشوي","ثوم ، خردل ، ليمون ، ملح ، فلفل"
97e45442-1336-44d8-b9e9-c23dc7ada035,"Grilled Fish",psk-048,cat-10,tx1,No,Yes,No,0,,,"Garlic, mustard, lemon, salt, pepper",,122,,No,,"السمك المشوي","ثوم ، خردل ، ليمون ، ملح ، فلفل"
97e45442-143d-4f7c-82a1-af9c71c0d4ef,"Cajun Chicken Creamy",psk-047,cat-08,tx1,No,Yes,No,0,,,"Chicken, cajun spiced, onion, garlic, chicken stock, apple vinegar, parsley, cooking creamy",,222,,No,,"دجاج كاجون كريمي","دجاج ، كاجون متبل ، مقلي ، ثوم ، مرق دجاج ، خل التفاح ، بقدونس ، كريمة الطبخ"
97e45442-14b2-4637-aa6d-37e8fc4f9817,"Salmon Gasheed",psk-052,cat-10,tx1,No,Yes,No,0,,,"Onion, dry lemon, arabic spices, green coriander",,439,,No,,"سلمون قشيد","بصل ، ليمون دراي، بهارات عربية ، كزبرة خضراء"
97e45442-1644-4820-be75-63999459553f,"Salmon with Avocado",psk-051,cat-10,tx1,No,Yes,No,0,,,"Cajun style marinated grilled samon served with healthy slice avocado and choice of sauce",,226,,No,,"سلمون بالأفوكادو","سلمون متبل مشوي على الطريقة الكاجونة يقدم مع شريحة أفوكادو صحية واختيار صلصة"
